tweet_id,favorites,retweets,user_followers,user_favourites,date_time
841077006473256960,21381,4898,9270024,146760,2017-03-13 00:02:39+00:00
840761248237133825,0,1623,9270024,146760,2017-03-12 03:07:56+00:00
840728873075638272,0,14642,9270024,146760,2017-03-12 00:59:17+00:00
840698636975636481,165,2,9269944,146756,2017-03-11 22:59:09+00:00
840696689258311684,11498,892,9270024,146760,2017-03-11 22:51:24+00:00
840632337062862849,8442,1623,9270024,146760,2017-03-11 18:35:42+00:00
840370681858686976,15357,4192,9270024,146760,2017-03-11 01:15:58+00:00
840268004936019968,17934,5237,9269944,146756,2017-03-10 18:27:58+00:00
839990271299457024,12553,2077,9270024,146760,2017-03-10 00:04:21+00:00
839549326359670784,25633,7099,9269944,146756,2017-03-08 18:52:12+00:00
839290600511926273,0,133,9270024,146760,2017-03-08 01:44:07+00:00
839239871831150596,25268,5960,9269944,146756,2017-03-07 22:22:32+00:00
838952994649550848,18399,3669,9269944,146756,2017-03-07 03:22:35+00:00
838921590096166913,10436,1859,9269944,146756,2017-03-07 01:17:48+00:00
838916489579200512,0,31,9270024,146760,2017-03-07 00:57:32+00:00
838831947270979586,0,10068,9270024,146760,2017-03-06 19:21:35+00:00
838561493054533637,10273,1234,9269944,146756,2017-03-06 01:26:54+00:00
838476387338051585,21014,4358,9270024,146760,2017-03-05 19:48:43+00:00
838201503651401729,0,9237,9270024,146760,2017-03-05 01:36:26+00:00
838150277551247360,1572,304,9269565,146756,2017-03-04 22:12:52+00:00
838085839343206401,133,1,9269944,146756,2017-03-04 17:56:49+00:00
838083903487373313,16495,2853,9270024,146760,2017-03-04 17:49:08+00:00
837820167694528512,31885,7174,9270024,146760,2017-03-04 00:21:08+00:00
837482249356513284,3616,409,9269944,146756,2017-03-03 01:58:22+00:00
837471256429613056,12010,2067,9269944,146756,2017-03-03 01:14:41+00:00
837110210464448512,15085,2185,9269944,146756,2017-03-02 01:20:01+00:00
836989968035819520,11974,2123,9270024,146760,2017-03-01 17:22:13+00:00
836753516572119041,18161,4276,9269945,146756,2017-03-01 01:42:39+00:00
836677758902222849,11850,2030,9270025,146760,2017-02-28 20:41:37+00:00
836648853927522308,0,509,9269945,146756,2017-02-28 18:46:45+00:00
836397794269200385,0,25167,9269566,146756,2017-02-28 02:09:08+00:00
836380477523124226,13931,2753,9270025,146760,2017-02-28 01:00:19+00:00
836260088725786625,19996,3990,9269945,146756,2017-02-27 17:01:56+00:00
836001077879255040,17922,3905,9269945,146756,2017-02-26 23:52:43+00:00
835685285446955009,0,7449,9269566,146756,2017-02-26 02:57:52+00:00
835574547218894849,16689,3308,9270025,146760,2017-02-25 19:37:50+00:00
835536468978302976,0,1550,9269945,146756,2017-02-25 17:06:32+00:00
835309094223372289,0,19231,9270025,146760,2017-02-25 02:03:02+00:00
835297930240217089,15464,2750,9270025,146760,2017-02-25 01:18:40+00:00
835264098648616962,7253,1550,9269945,146756,2017-02-24 23:04:14+00:00
835246439529840640,1993,63,9269945,146756,2017-02-24 21:54:03+00:00
835172783151792128,24616,5316,9269945,146756,2017-02-24 17:01:22+00:00
835152434251116546,20977,2769,9270025,146760,2017-02-24 15:40:31+00:00
834931633769889797,10131,1497,9269945,146756,2017-02-24 01:03:08+00:00
834786237630337024,20245,5123,9270025,146760,2017-02-23 15:25:23+00:00
834574053763584002,12835,2325,9269945,146756,2017-02-23 01:22:14+00:00
834477809192075265,0,9801,9269945,146756,2017-02-22 18:59:48+00:00
834458053273591808,9048,1554,9270025,146760,2017-02-22 17:41:18+00:00
834209720923721728,19301,4344,9270025,146760,2017-02-22 01:14:30+00:00
834167344700198914,14857,3373,9269945,146756,2017-02-21 22:26:07+00:00
834089966724603904,9468,1971,9269566,146756,2017-02-21 17:18:39+00:00
